# Phase 6D all-campaign descriptor matrix
# exact executable SHA-256: 3b561269fb7ce4c281959f8f0db691cebf7cd36a04ad3594461b94290c5d3816
# exact PDB SHA-256: 702df42ef4d7e8f6ba39aee96b5c83780c3266a7e9a174f81db13c6934050ae6
# generated/reviewed: 2026-07-18 Asia/Shanghai
descriptor key	content group	page	control	rectangle	ordinal / event	transition kind	formatter / literal	exact relative	static windows	public evidence	status
addon-roman-01	Add-on Roman	12	47	480,148,175,30	0 / 0x1F49	0x0B	ao_roman%01i	Map\Campaign\ao_roman1.map	AO	L6D-G	CLOSED
addon-roman-02	Add-on Roman	12	48	480,195,175,30	1 / 0x1F49	0x0B	ao_roman%01i	Map\Campaign\ao_roman2.map	AO	L6D-G	CLOSED
addon-roman-03	Add-on Roman	12	49	480,243,175,30	2 / 0x1F49	0x0B	ao_roman%01i	Map\Campaign\ao_roman3.map	AO	L6D-G	CLOSED
addon-roman-04	Add-on Roman	12	50	480,295,175,30	3 / 0x1F49	0x0B	ao_roman%01i	Map\Campaign\ao_roman4.map	AO	L6D-G	CLOSED
addon-viking-01	Add-on Viking	14	112	500,124,175,30	0 / 0x1F4D	0x0C	ao_viking%01i	Map\Campaign\ao_viking1.map	AO	L6D-G	CLOSED
addon-viking-02	Add-on Viking	14	113	500,171,175,30	1 / 0x1F4D	0x0C	ao_viking%01i	Map\Campaign\ao_viking2.map	AO	L6D-G	CLOSED
addon-viking-03	Add-on Viking	14	114	500,219,175,30	2 / 0x1F4D	0x0C	ao_viking%01i	Map\Campaign\ao_viking3.map	AO	L6D-G	CLOSED
addon-viking-04	Add-on Viking	14	115	500,266,175,30	3 / 0x1F4D	0x0C	ao_viking%01i	Map\Campaign\ao_viking4.map	AO	L6D-G	CLOSED
addon-mayan-01	Add-on Mayan	13	34	480,177,175,30	0 / 0x1F4B	0x0D	ao_maya%01i	Map\Campaign\ao_maya1.map	AO	L6D-G	CLOSED
addon-mayan-02	Add-on Mayan	13	35	480,223,175,30	1 / 0x1F4B	0x0D	ao_maya%01i	Map\Campaign\ao_maya2.map	AO	L6D-G	CLOSED
addon-mayan-03	Add-on Mayan	13	36	480,269,175,30	2 / 0x1F4B	0x0D	ao_maya%01i	Map\Campaign\ao_maya3.map	AO	L6D-G	CLOSED
addon-mayan-04	Add-on Mayan	13	37	480,317,175,30	3 / 0x1F4B	0x0D	ao_maya%01i	Map\Campaign\ao_maya4.map	AO	L6D-G	CLOSED
addon-settle-01	Add-on Settle	15	77	480,115,175,30	0 / 0x1F47	0x0E	ao_settle%01i	Map\Campaign\ao_settle1.map	AO	L6D-G	CLOSED
addon-settle-02	Add-on Settle	15	78	480,162,175,30	1 / 0x1F47	0x0E	ao_settle%01i	Map\Campaign\ao_settle2.map	AO	L6D-G	CLOSED
addon-settle-03	Add-on Settle	15	79	480,209,175,30	2 / 0x1F47	0x0E	ao_settle%01i	Map\Campaign\ao_settle3.map	AO	L6D-G	CLOSED
addon-settle-04	Add-on Settle	15	80	480,256,175,30	3 / 0x1F47	0x0E	ao_settle%01i	Map\Campaign\ao_settle4.map	AO	L6D-G	CLOSED
addon-trojan-01	Add-on Trojan	11	91	320,200,175,30	0 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan01.map	AO	L6D-G	CLOSED
addon-trojan-02	Add-on Trojan	11	92	320,240,175,30	1 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan02.map	AO	L6D-G	CLOSED
addon-trojan-03	Add-on Trojan	11	93	320,280,175,30	2 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan03.map	AO	L6D-G	CLOSED
addon-trojan-04	Add-on Trojan	11	94	320,320,175,30	3 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan04.map	AO	L6D-G	CLOSED
addon-trojan-05	Add-on Trojan	11	95	320,360,175,30	4 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan05.map	AO	L6D-G	CLOSED
addon-trojan-06	Add-on Trojan	11	96	320,400,175,30	5 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan06.map	AO	L6D-G	CLOSED
addon-trojan-07	Add-on Trojan	11	97	520,200,175,30	6 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan07.map	AO	L6D-G	CLOSED
addon-trojan-08	Add-on Trojan	11	98	520,240,175,30	7 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan08.map	AO	L6D-G	CLOSED
addon-trojan-09	Add-on Trojan	11	99	520,280,175,30	8 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan09.map	AO	L6D-G	CLOSED
addon-trojan-10	Add-on Trojan	11	100	520,320,175,30	9 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan10.map	AO	L6D-G	CLOSED
addon-trojan-11	Add-on Trojan	11	101	520,360,175,30	10 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan11.map	AO	L6D-G	CLOSED
addon-trojan-12	Add-on Trojan	11	102	520,400,175,30	11 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan12.map	AO	L6D-G	CLOSED
md-roman-01	Mission CD Roman	16	1903	237,148,175,30	0 / 0x1B60	0x05	md_roman%01i	Map\Campaign\md_roman1.map	MD	L6D-G	CLOSED
md-roman-02	Mission CD Roman	16	1904	237,195,175,30	1 / 0x1B60	0x05	md_roman%01i	Map\Campaign\md_roman2.map	MD	L6D-G	CLOSED
md-roman-03	Mission CD Roman	16	1905	237,243,175,30	2 / 0x1B60	0x05	md_roman%01i	Map\Campaign\md_roman3.map	MD	L6D-G	CLOSED
md-roman-04	Mission CD Roman	16	1906	237,293,175,30	3 / 0x1B60	0x05	md_roman%01i	Map\Campaign\md_roman4.map	MD	L6D-G	CLOSED
md-roman-05	Mission CD Roman	16	1907	237,343,175,30	4 / 0x1B60	0x05	md_roman%01i	Map\Campaign\md_roman5.map	MD	L6D-G	CLOSED
md-viking-01	Mission CD Viking	17	1950	404,124,175,30	0 / 0x1B64	0x06	md_viking%01i	Map\Campaign\md_viking1.map	MD	L6D-G	CLOSED
md-viking-02	Mission CD Viking	17	1951	404,171,175,30	1 / 0x1B64	0x06	md_viking%01i	Map\Campaign\md_viking2.map	MD	L6D-G	CLOSED
md-viking-03	Mission CD Viking	17	1952	404,219,175,30	2 / 0x1B64	0x06	md_viking%01i	Map\Campaign\md_viking3.map	MD	L6D-G	CLOSED
md-viking-04	Mission CD Viking	17	1953	402,266,175,30	3 / 0x1B64	0x06	md_viking%01i	Map\Campaign\md_viking4.map	MD	L6D-G	CLOSED
md-viking-05	Mission CD Viking	17	1954	404,312,175,30	4 / 0x1B64	0x06	md_viking%01i	Map\Campaign\md_viking5.map	MD	L6D-G	CLOSED
md-mayan-01	Mission CD Mayan	18	1889	430,177,175,30	0 / 0x1B62	0x07	md_maya%01i	Map\Campaign\md_maya1.map	MD	L6D-G	CLOSED
md-mayan-02	Mission CD Mayan	18	1890	431,223,175,30	1 / 0x1B62	0x07	md_maya%01i	Map\Campaign\md_maya2.map	MD	L6D-G	CLOSED
md-mayan-03	Mission CD Mayan	18	1891	430,269,175,30	2 / 0x1B62	0x07	md_maya%01i	Map\Campaign\md_maya3.map	MD	L6D-G	CLOSED
md-mayan-04	Mission CD Mayan	18	1892	432,317,175,30	3 / 0x1B62	0x07	md_maya%01i	Map\Campaign\md_maya4.map	MD	L6D-G	CLOSED
md-mayan-05	Mission CD Mayan	18	1893	432,363,175,30	4 / 0x1B62	0x07	md_maya%01i	Map\Campaign\md_maya5.map	MD	L6D-G	CLOSED
md-settle-01	Mission CD Settle	19	1941	128,115,175,30	0 / 0x1B66	0x08	md_settle%01i	Map\Campaign\md_settle1.map	MD	L6D-G	CLOSED
md-settle-02	Mission CD Settle	19	1942	127,162,175,30	1 / 0x1B66	0x08	md_settle%01i	Map\Campaign\md_settle2.map	MD	L6D-G	CLOSED
md-settle-03	Mission CD Settle	19	1943	126,208,175,30	2 / 0x1B66	0x08	md_settle%01i	Map\Campaign\md_settle3.map	MD	L6D-G	CLOSED
md-conflict-01	Mission CD Conflict	19	1944	520,347,175,30	0 / 0x1B67	0x09	md_conflict%01i	Map\Campaign\md_conflict1.map	MD	L6D-G	CLOSED
md-conflict-02	Mission CD Conflict	19	1945	521,392,175,30	1 / 0x1B67	0x09	md_conflict%01i	Map\Campaign\md_conflict2.map	MD	L6D-G	CLOSED
